Package ID,Strategy ID,Functional Location,Action ID,Description,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan,Action Basis,Tmp
Gidgealpa Gas Satellite - Buildings - Buildings,GIDG BLD 1010-PLC-003,1010-PLC-003,PLC Battery- GIDG_A01,Change out PLC Battery,3,Y,1,0,,,REPLACE-PM-CL.LC-003628-C-0002.docx,
Gidgealpa Gas Satellite - Compression - Compressor Building,GIDG COMP 1010-CR-053,1010-CR-053,Crane-Gantry-GIDG_A04,Check the devices and equipment,1,Y,21,0,,,2218899.docx,
Gidgealpa Gas Satellite - Compression - Compressor Building,GIDG COMP 1010-CR-053,1010-CR-053,Crane-Gantry-GIDG_A01,Isolate all motive power to the crane,1,Y,21,0,,,2218899.docx,
Gidgealpa Gas Satellite - Compression - Compressor Building,GIDG COMP 1010-CR-053,1010-CR-053,Crane-Gantry-GIDG_A03,Check as per attached sheet record,1,Y,21,0,,,2218899.docx,
Gidgealpa Gas Satellite - Compression - Compressor Building,GIDG COMP 1010-CR-053,1010-CR-053,Crane-Gantry-GIDG_A05,Ensure all isolations have been returned to there original settings,1,Y,21,0,,,2218899.docx,
Gidgealpa Gas Satellite - Compression - Compressor Building,GIDG COMP 1010-CR-053,1010-CR-053,Crane-Gantry-GIDG_A02,Ensure all electrical isolations are carried out before working on the crane electrics,1,Y,21,0,,,2218899.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-002,1010-E-002,Cooler-Compressor-GIDG_A02,Remove belt guard to access belts,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A016,Inspection & Calibration Check Task Compressor / Engine Package Vibration Switches,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A03,Service & Calibration Task Engine / Compressor Lube Oil Pressure Switch,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A010,Inspection & Calibration Check Compressor Inlet Valve Differential Pressure Transmitter,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A018,Service & Calibration Task Compressor Recycle Valve & Positioner,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A02,Inspection & Calibration Check Scrubber Suction / Lube Oil Cooler / Air Manifold Temperature RTD,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A08,Inspection & Function Check Task Compressor / Engine Cooling Water Flow Switches,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A014,Service & Calibration Check Task Butterfly / Governor / Ramp Control I/P Transducer,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A05,Inspection & Function Check Task Compressor / Engine Lube Oil Level Switch (Controller),1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A015,Inspection & Function Check Task Start Valve / Run Fuel Valve Control Air Supply Isolation Solenoid,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A07,Inspection & Calibration Check Task Compressor Suction / Interstage /Discharge Scrubber Level Transmitters,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A013,Inspection & Calibration Check Suction / Interstage / Discharge Scrubber Pressure Transmitters (AL / SD),1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A020,Service & Calibration Task Starter Gas Shuttle Valve,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A017,Service & Calibration Task Compressor Recycle Valve I/P Transducer,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A012,Inspection & Calibration Check Suction / Interstage / Discharge Scrubber Pressure Transmitters (to PIC),1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A09,Service & Calibration Task Compressor Lubricator Flow Switch Low Low,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A04,Service & Calibration Task Engine / Compressor Oil Filter Differential Pressure Switch,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A019,Service & Calibration Check Task Butterfly / Ramp Pneumatic Booster Relay (3:1),1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A011,Inspection & Calibration Check Compressor Inlet / Fuel Gas / Engine Manifold Pressure Transmitters,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A021,Inspection & Function Check Package Engine Overspeed Shutdown,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A011,Inspection & Calibration Check Compressor Inlet / Fuel Gas / Engine Manifold Pressure Transmitters,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A03,Service & Calibration Task Engine / Compressor Lube Oil Pressure Switch,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A05,Inspection & Function Check Task Compressor / Engine Lube Oil Level Switch (Controller),1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A06,Inspection & Function Check Task Engine Surge Tank Level Switch Low Low,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A01,"Inspection & Calibration Check Engine Temperature RTDs (Lube Oil, Turbo & Jacket Water)",1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A016,Inspection & Calibration Check Task Compressor / Engine Package Vibration Switches,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A04,Service & Calibration Task Engine / Compressor Oil Filter Differential Pressure Switch,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-KX-003,1010-KX-003,Compressor Package IE-Gas Superior SW66-GIDG_A08,Inspection & Function Check Task Compressor / Engine Cooling Water Flow Switches,1,Y,1,0,,,1010-295-TIN-0003.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A014,Inspect/Check/Torque Fastener Torque - Frame/Cylinders,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A031,Replace Piston Rings / Rider Wearbands,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A030,Inspect/Record Cylinder Bore/Liner,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A017,Lubricate VVCP Threads,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A035,Strip/Inspect/Repair VVCP,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A041,Inspect/Replace Cylinder Liner,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A07,Replace Supply filter to cylinder oil header tank,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A029,Inspect/Replace on condition Piston Rods,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A013,Check/Record Piston Rod Runout,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A032,Replace Oil Wiper - Piston Rods,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A042,Inspect Process gas inlet screen (cone strainers) if fitted on each stage,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A010,"Inspect/Fix Package fusible loop tubing (rubs, free spans, vibration)",1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A045,Measure/Record Compressor Balance,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A022,Check Looseness/Pitch After/Aux Cooler fan blades and hubs,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A046,Overhaul Crankcase Over-pressure Relief Valves,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A024,Inspect/Check/Adjust Coupling/Alignment,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A08,"Inspect Walk-around Inspection (Fluid/gas leaks, unusual noise, excessive vibration and loose or missing fasteners)",6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A027,Replace Divider Blocks,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A03,Inspect/Clean Lubricator Box Sintered Element,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A019,Inspect Lubricator Cams/Followers/Gears/Drive Coupling,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A026,Replace Lubricator Pump Elements,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A021,Check Force Lubrication Circuit flow to each point. Hand pump.,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A033,Replace Force Lubrication Circuit Check Valves / NRV's,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A04,Replace Lube Oil Filter and Housing Gasket,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A040,Replace Lubricator Box,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A02,Flush/Clean/Replace Lubricator Box Housing Oil,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A09,Clean when oil replaced Compressor Frame Lubrication Circuit Y-Strainer,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A038,Inspect/Replace Oil Strainer,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A06,Replace Supply filter to frame oil header tank,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A011,Clean/Replace Frame Breather Element,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A05,Check/Adjust Oil Leveller,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A015,Replace Compressor Valves - Gaskets/Seals,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A016,Inspect/Clean Valve Pockets and Cylinder Gas Passages,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A018,Inspect/Clean Packing Vents/Drains,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A028,Replace Packing Assemblies,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A043,Replace Drive Chain/s,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A020,Inspect/Check/Adjust Drive Chain/s,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A034,Inspect/Replace Auxiliary Drive Chain Sprockets,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A039,Inspect/Replace Piston,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A025,Inspect Piston and Piston Ring Grooves,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A044,"Inspect/Clean/Replace Crossheads, Pins, Crosshead Bushings and Nuts",12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A012,Check/Record Crosshead to Guide Clearance,1,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A01,Check condition/Replace Compressor Frame Oil,6,M,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A036,Inspect/Replace Main Bearings and Thrust Bearings,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A023,Replace Compressor Frame Oil,3,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-K-001,1010-K-001,Compressor-Gas Superior SW66-GIDG_A037,Inspect/Replace Connecting Rod Bearings/Bushings,12,Y,4,0,,,0001-296-TIN-0068.pdf,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A011,Remove the drain plug and using a metal rod,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A07,Install belt guards after belt inspection,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A08,Re-grease fan mast bearings if grease nipple fitted,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A015,Inspect purged grease for evidence of metal particles or contamination,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A02,Remove belt guard to access belts,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A016,Replace the drain plug,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A09,Check for leaking grease lines and repair if required,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A010,"Clear the drain plug, grease nipple and grease gun nozzle to prevent introducing contaminants or abrasives into the bearing",1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A06,Check and adjust the belt tension as required.,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A04,Replace belt if tooth thickness is less than 75% of new or is worn by required,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A013,Re-grease motor bearings,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A03,"Inspect belt for cracks, fraying and missing teeth",1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A05,Inspect pulleys for excessive wear,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A012,Clean old grease from the drain opening,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A014,Clean the grease outlet of purged,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A01,Erect mobile scaffold to access belt drive,1,Y,4,0,,,2223330.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A017,Function test and calibrate vibration switch,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A018,Check vibration switch mounting bolt for tightness,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A021,Manually trip switch and confirm alarm functions correctly,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A019,Inspect cabling and glanding for wear or deterioration of cable,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-003,1010-E-003,Cooler-Compressor-GIDG_A020,Inspect internals of vibration switch for component security,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-002,1010-E-002,Cooler-Compressor-GIDG_A018,Check vibration switch mounting bolt for tightness,1,Y,1,0,,,2251905.docx,
Gidgealpa Gas Satellite - Compression - Compressor Package 3,GIDG COMP 1010-E-002,1010-E-002,Cooler-Compressor-GIDG_A017,Function test and calibrate vibration switch,1,Y,1,0,,,2251905.docx,
